CaseName	EndPointSituation	RequestAmount	CreditScore	Variant	NumberOfOffers	LoanGoal
Application_652823628	0	20000.0	979	2	1	Existingloantakeover
Application_1691306052	1	10000.0	0	384	1	Homeimprovement
Application_428409768	0	15000.0	1059	208	2	Homeimprovement
Application_1746793196	0	5000.0	834	255	2	Car
Application_828200680	2	35000.0	0	1	1	Homeimprovement
Application_1085880569	2	13000.0	0	19	2	Existingloantakeover
Application_1266995739	2	7000.0	0	30	1	Existingloantakeover
Application_1878239836	1	15000.0	0	9	1	Homeimprovement
Application_619403287	0	15000.0	799	6	1	Car
Application_1710223761	2	11000.0	0	1	1	Car
Application_1529124572	0	5000.0	835	2	1	Other,seeexplanation
Application_387012864	2	5000.0	0	1	1	Other,seeexplanation
Application_1120819670	0	6850.0	1021	23	1	Car
Application_42838382	2	29500.0	0	60	3	Existingloantakeover
Application_180547487	0	6000.0	770	17	1	Homeimprovement
Application_1966208034	2	40000.0	0	1	1	Remainingdebthome
Application_1806387393	1	5000.0	0	622	1	Car
Application_1111870538	2	5000.0	0	1	1	Notspeficied
Application_1017492916	2	15000.0	0	1	1	Car
Application_2082119944	0	15000.0	1004	3	1	Existingloantakeover
Application_758985626	0	17000.0	875	6	1	Notspeficied
Application_1018615109	0	17000.0	919	49	2	Homeimprovement
Application_319587802	1	7000.0	0	310	3	Car
Application_1846626914	0	5000.0	1063	6	1	Car
Application_546206358	1	10000.0	0	9	1	Homeimprovement
Application_196483749	2	10000.0	0	1112	4	Car
Application_1363980603	2	7500.0	0	1	1	Car
Application_1553362978	2	12000.0	0	110	3	Car
Application_1197857445	2	6000.0	0	45	2	Homeimprovement
Application_931862671	2	6000.0	0	60	3	Car
Application_2012588584	0	0.0	809	69	2	Unknown
Application_1825972191	0	15000.0	990	754	3	Car
Application_1059184025	0	6600.0	1018	1113	3	Caravan/Camper
Application_1395142997	0	20000.0	812	226	1	Car
Application_2015287405	2	15000.0	0	19	2	Car
Application_1193723578	1	20000.0	0	112	2	Car
Application_2049529862	0	10000.0	895	17	1	Homeimprovement
Application_1699757505	0	6000.0	1030	1114	3	Car
Application_493034835	0	9000.0	0	5	1	Existingloantakeover
Application_842511489	0	15000.0	859	5	1	Other,seeexplanation
Application_1474017032	0	15000.0	0	106	2	Homeimprovement
Application_1397856354	2	0.0	0	13	1	Homeimprovement
Application_767475240	0	15400.0	933	1115	6	Existingloantakeover
Application_980495316	0	42000.0	0	12	1	Homeimprovement
Application_2035768049	0	15000.0	0	5	1	Homeimprovement
Application_1307111345	0	20000.0	662	12	1	Other,seeexplanation
Application_821425679	0	15000.0	0	12	1	Car
Application_1294530310	0	10000.0	860	11	1	Car
Application_470922426	0	40000.0	938	10	1	Homeimprovement
Application_1461440233	2	11000.0	0	19	2	Car
Application_857715587	2	40000.0	0	4	1	Other,seeexplanation
Application_351152063	0	0.0	0	5	1	Car
Application_1547844908	0	40000.0	796	649	2	Homeimprovement
Application_2055987002	0	15000.0	0	5	1	Car
Application_1118236712	2	15000.0	0	1	1	Existingloantakeover
Application_1234535641	2	8000.0	0	19	2	Existingloantakeover
Application_1898882436	0	5000.0	1011	6	1	Car
Application_2113276114	0	7500.0	976	15	1	Homeimprovement
Application_1603124379	0	13000.0	659	65	2	Car
Application_2110144842	2	15000.0	0	7	1	Existingloantakeover
Application_486645986	0	27000.0	804	84	2	Homeimprovement
Application_587387633	0	25000.0	808	3	1	Existingloantakeover
Application_901793095	0	5000.0	1090	6	1	Car
Application_340403559	2	17000.0	0	19	2	Car
Application_1825104006	2	15000.0	0	790	5	Car
Application_1530322400	2	5000.0	0	63	1	Homeimprovement
Application_593655901	2	5000.0	0	45	2	Homeimprovement
Application_1535675187	0	8500.0	894	130	1	Car
Application_1767756144	0	15000.0	955	37	2	Car
Application_1405679737	2	5000.0	0	1116	1	Car
Application_446334558	2	7500.0	0	97	2	Taxpayments
